,experiment,node_id,label,loss,count,std,mean,var,hop,min,max,outliers,window,KmeansLabels
324,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,42.0,29,795.7453255613315,996.8620689655173,633210.6231527093,2,321,10130,2,50,0
325,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,72.0,14,2445.6691897544697,2615.357142857143,5981297.785714285,2,321,10130,1,50,0
326,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,56.00000000000001,22,581.8964591553116,554.1818181818181,338603.48917748925,1,119,5930,1,50,0
327,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,92.0,4,408.264620068896,792.0,166680.0,1,119,5930,0,50,0
328,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,88.0,6,687.4732479643602,1213.3333333333333,472619.46666666656,3,728,12960,0,50,0
329,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,88.0,6,4085.6021057693156,5689.166666666668,16692144.566666665,3,728,12960,0,50,1
330,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,86.0,7,967.999212907984,1155.857142857143,937022.4761904762,3,636,11190,1,50,0
331,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,94.0,3,1518.4804904904113,2991.0,2305783.0,3,636,11190,0,50,0
332,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,62.0,19,985.7309930418517,1499.421052631579,971665.590643275,4,667,14670,1,50,0
333,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,98.0,1,0.0,1900.0,0.0,4,667,14670,0,50,0
334,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,60.0,20,1123.5901797832087,1625.45,1262454.8921052634,3,467,6286,2,50,0
335,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,80.0,10,1148.1939441284876,2936.0,1318349.333333333,3,467,6286,0,50,0
336,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,80.0,10,705.6322303044585,1149.8,497916.8444444444,2,289,17980,0,50,0
337,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,86.0,7,5837.329795622066,5746.857142857143,34074419.14285714,2,289,17980,1,50,1
338,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,76.0,12,2065.368649682402,1888.75,4265747.659090909,2,300,13805,1,50,0
339,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,74.0,13,2771.7650698722828,2438.4615384615386,7682681.602564104,2,300,13805,1,50,0
340,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,70.0,15,920.9182529255397,2223.0,848090.4285714284,4,999,9732,0,50,0
341,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,90.0,5,1068.2655100676047,2075.8,1141191.2,4,999,9732,0,50,0
342,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,44.0,28,460.6334894905185,621.7857142857142,212183.2116402116,1,148,5629,2,50,0
343,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,68.0,16,1082.6285297059808,1343.0,1172084.5333333334,1,148,5629,1,50,0
344,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,56.00000000000001,22,1071.694749620262,1750.2727272727273,1148529.6363636362,3,764,11771,1,50,0
345,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,70.0,15,2295.0949767669645,5954.333333333332,5267460.952380953,3,764,11771,0,50,0
346,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,56.00000000000001,22,1487.4549176478026,2139.318181818182,2212522.132034632,4,886,13769,1,50,0
