,experiment,node_id,label,loss,count,std,mean,var,hop,min,max,outliers,window,KmeansLabels
486,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,56.99999999999999,43,1691.8570419148466,1523.813953488372,2862380.250276855,2,321,10130,1,100,0
487,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,74.0,26,558.646171216974,590.7692307692307,312085.54461538466,1,119,5930,1,100,0
488,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,88.0,12,3642.215512694038,3451.25,13265733.840909092,3,728,12960,1,100,1
489,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,90.0,10,1386.6816665855374,1706.4,1922886.0444444444,3,636,11190,0,100,0
490,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,80.0,20,963.6121995142192,1519.45,928548.4710526316,4,667,14670,1,100,0
491,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,70.0,30,1277.1474451102831,2062.3,1631105.596551724,3,467,6286,1,100,0
492,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,83.0,17,4300.768329099841,3042.7058823529414,18496608.22058824,2,289,17980,1,100,1
493,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,75.0,25,2423.848730153486,2174.6,5875042.666666668,2,300,13805,2,100,1
494,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,80.0,20,932.4355544260927,2186.2,869436.0631578949,4,999,9732,0,100,0
495,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,56.00000000000001,44,815.6362605437192,884.0454545454545,665262.509513742,1,148,5629,2,100,0
496,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,63.0,37,2664.049073114826,3454.6216216216217,7097157.463963965,3,764,11771,3,100,1
497,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,65.0,35,2698.386988461032,3078.114285714286,7281292.339495798,4,886,13769,2,100,1
498,normal__2019-05-01_13:43_,aaaa::212:7405:5:505,Normal,69.0,31,1339.3359235565333,2003.8709677419354,1793820.7161290322,3,674,8924,3,100,0
499,normal__2019-05-01_13:43_,aaaa::212:7409:9:909,Normal,84.0,16,1313.1313830560393,1726.1875,1724314.0291666666,3,601,5693,1,100,0
500,normal__2019-05-01_13:43_,aaaa::212:7404:4:404,Normal,76.0,24,599.2078768759177,975.0833333333335,359050.0797101449,2,284,6708,1,100,0
501,normal__2019-05-01_13:43_,aaaa::212:7402:2:202,Normal,73.0,27,735.2546877378313,1313.074074074074,540599.4558404558,4,557,7717,2,100,0
502,normal__2019-05-01_13:43_,aaaa::212:7406:6:606,Normal,71.0,29,1165.4987198662434,1176.8620689655172,1358387.266009852,2,361,11150,2,100,0
503,normal__2019-05-01_13:43_,aaaa::212:740a:a:a0a,Normal,76.0,24,1332.3456425537195,2157.2916666666665,1775144.9112318843,4,851,12233,1,100,0
504,rnd__2019-05-01_01:07_,aaaa::212:7408:8:808,Normal,75.0,25,1478.2358652574133,1670.24,2185181.273333333,2,445,7519,2,100,0
505,rnd__2019-05-01_01:07_,aaaa::212:7405:5:505,Normal,82.0,18,1279.3920431204815,2361.6666666666665,1636844.0,2,600,7148,0,100,0
506,rnd__2019-05-01_01:07_,aaaa::212:740a:a:a0a,Normal,92.0,8,775.6276260459747,2289.25,601598.2142857143,2,460,5075,0,100,0
507,rnd__2019-05-01_01:07_,aaaa::212:7404:4:404,Normal,68.0,32,1688.426199825762,1463.25,2850783.0322580645,2,401,9943,1,100,0
