,experiment,node_id,label,loss,count,std,mean,var,hop,min,max,outliers,window,KmeansLabels
567,rnd__2019-05-01_13:41_,aaaa::212:7406:6:606,Normal,70.0,60,2714.2534208817638,2503.833333333333,7367171.632768359,2,321,10130,5,200,0
568,rnd__2019-05-01_13:41_,aaaa::212:7403:3:303,Normal,83.5,33,1468.4013415956824,1083.0,2156202.5,1,119,5930,2,200,1
569,rnd__2019-05-01_13:41_,aaaa::212:7407:7:707,Normal,90.5,19,3312.3981718873724,4092.263157894737,10971981.649122806,3,728,12960,1,200,0
570,rnd__2019-05-01_13:41_,aaaa::212:7409:9:909,Normal,90.5,19,2462.33132292542,2734.894736842105,6063075.5438596485,3,636,11190,1,200,0
571,rnd__2019-05-01_13:41_,aaaa::212:7408:8:808,Normal,87.5,25,3013.7210261292157,2620.56,9082514.423333334,4,667,14670,1,200,0
572,rnd__2019-05-01_13:41_,aaaa::212:7405:5:505,Normal,81.5,37,1439.2082235767034,2320.5405405405404,2071320.310810811,3,467,6286,1,200,1
573,rnd__2019-05-01_13:41_,aaaa::212:7402:2:202,Normal,88.0,24,4003.454323447132,3546.541666666666,16027646.519927535,2,289,17980,1,200,0
574,rnd__2019-05-01_13:41_,aaaa::212:7404:4:404,Normal,78.5,43,2932.57658547545,2929.6279069767443,8600005.429678848,2,300,13805,3,200,0
575,rnd__2019-05-01_13:41_,aaaa::212:740a:a:a0a,Normal,87.0,26,2583.0442207120363,3281.615384615385,6672117.4461538475,4,999,9732,3,200,0
576,normal__2019-05-01_13:43_,aaaa::212:7403:3:303,Normal,62.0,76,1255.0572824698884,1309.9342105263158,1575168.7822807017,1,148,5629,4,200,1
577,normal__2019-05-01_13:43_,aaaa::212:7407:7:707,Normal,77.5,45,2974.576979516702,3961.555555555556,8848108.207070708,3,764,11771,1,200,0
578,normal__2019-05-01_13:43_,aaaa::212:7408:8:808,Normal,69.5,61,2913.099913120924,4094.2131147540986,8486151.103825137,4,886,13769,4,200,0
579,normal__2019-05-01_13:43_,aaaa::212:7405:5:505,Normal,76.5,47,1930.6886974441227,2883.744680851064,3727558.8464384833,3,674,8924,2,200,1
580,normal__2019-05-01_13:43_,aaaa::212:7409:9:909,Normal,90.0,20,1352.444142245711,1942.0,1829105.1578947369,3,601,5693,1,200,1
581,normal__2019-05-01_13:43_,aaaa::212:7404:4:404,Normal,84.0,32,1273.3479477219655,1480.1875,1621414.9959677418,2,284,6708,1,200,1
582,normal__2019-05-01_13:43_,aaaa::212:7402:2:202,Normal,78.0,44,1974.255633938912,2452.25,3897685.308139535,4,557,7717,4,200,1
583,normal__2019-05-01_13:43_,aaaa::212:7406:6:606,Normal,79.0,42,1862.9489080880192,1663.0,3470578.634146342,2,361,11150,2,200,1
584,normal__2019-05-01_13:43_,aaaa::212:740a:a:a0a,Normal,82.0,36,2884.335551115468,3486.833333333333,8319391.571428573,4,851,12233,2,200,0
585,rnd__2019-05-01_01:07_,aaaa::212:7408:8:808,Normal,75.5,49,1673.3583611802862,2083.591836734694,2800128.204931973,2,445,7519,3,200,1
586,rnd__2019-05-01_01:07_,aaaa::212:7405:5:505,Normal,82.5,35,1354.5849046351973,2322.0285714285715,1834900.2638655468,2,600,7148,1,200,1
587,rnd__2019-05-01_01:07_,aaaa::212:740a:a:a0a,Normal,90.0,20,1179.3266812264665,1808.5,1390811.4210526315,2,460,5075,1,200,1
588,rnd__2019-05-01_01:07_,aaaa::212:7404:4:404,Normal,63.5,73,1290.7650214361893,1324.2739726027396,1666074.340563166,2,401,9943,1,200,1
589,rnd__2019-05-01_01:07_,aaaa::212:7402:2:202,Normal,87.5,25,1035.3304915178855,2229.32,1071909.2266666666,2,652,4950,1,200,1
590,rnd__2019-05-01_01:07_,aaaa::212:7407:7:707,Normal,35.5,129,770.3399110843837,820.9147286821706,593423.5786094961,1,140,4390,6,200,1
591,rnd__2019-05-01_01:07_,aaaa::212:7403:3:303,Normal,95.0,10,2658.6995568009056,3680.0,7068683.333333332,3,1640,9086,1,200,0
592,rnd__2019-05-01_01:07_,aaaa::212:7409:9:909,Normal,81.5,37,1102.4424201697746,1361.3513513513512,1215379.2897897898,1,280,4653,3,200,1
593,rnd__2019-05-01_01:07_,aaaa::212:7406:6:606,Normal,82.5,35,1612.5431425405716,2164.714285714286,2600295.386554621,2,499,7977,1,200,1
594,normal_2019-05-03_12:56_,aaaa::212:7403:3:303,Normal,77.0,46,1205.9974627640127,1718.8260869565215,1454429.8801932363,1,283,6672,1,200,1
595,normal_2019-05-03_12:56_,aaaa::212:7407:7:707,Normal,90.5,19,1391.0154101752537,3269.263157894737,1934923.8713450287,3,906,6594,1,200,1
596,normal_2019-05-03_12:56_,aaaa::212:7402:2:202,Normal,92.5,15,742.7234824809105,1752.2,551638.1714285715,2,756,2659,0,200,1
597,normal_2019-05-03_12:56_,aaaa::212:7409:9:909,Normal,97.5,5,1201.9490421810735,3872.0,1444681.5,3,1227,5799,0,200,1
598,normal_2019-05-03_12:56_,aaaa::212:7408:8:808,Normal,93.5,13,3511.5048804808785,5393.23076923077,12330666.525641024,4,2145,15160,1,200,0
599,normal_2019-05-03_12:56_,aaaa::212:7406:6:606,Normal,83.0,34,2205.227587779489,2942.2058823529414,4863028.713903744,2,661,10372,1,200,1
600,normal_2019-05-03_12:56_,aaaa::212:740a:a:a0a,Normal,96.5,7,1575.6028173671302,5508.285714285716,2482524.2380952383,4,1721,8781,1,200,1
601,normal_2019-05-03_12:56_,aaaa::212:7405:5:505,Normal,96.0,8,3526.6748807177723,5131.5,12437435.714285715,3,2349,12996,1,200,0
602,normal_2019-05-03_12:56_,aaaa::212:7404:4:404,Normal,90.5,19,1259.9646750826548,2556.7368421052633,1587510.9824561402,2,854,4910,0,200,1
603,1bh-5_2019-05-03_00:32_,aaaa::212:7402:2:202,Attacked,56.00000000000001,88,882.0741097604657,1194.5227272727273,778054.7351097179,2,273,5474,4,200,1
604,1bh-5_2019-05-03_00:32_,aaaa::212:7403:3:303,Attacked,21.0,158,537.56006247597,588.2405063291138,288970.8207691688,1,135,3501,9,200,1
